video_id,sample_idx,time_sec,whole_frame_diff,tile_max_diff,tile_topk_mean,optical_flow_mag,ssim_change
game_01,1,0.2,0.2961,1.6348,1.2257,0.0888,0.0068
game_01,2,0.4,0.7779,4.1859,2.9366,0.1697,0.0177
game_01,3,0.6,1.0401,4.2442,3.5779,0.2221,0.0241
game_01,4,0.8,0.9806,3.4479,2.9908,0.183,0.021
game_01,5,1.0,1.3415,5.437,4.6009,0.2738,0.0315
game_01,6,1.2,1.6154,6.8314,6.0518,0.432,0.0468
game_01,7,1.4,1.4488,5.5772,4.8722,0.2829,0.0355
game_01,8,1.6,1.227,5.7689,4.214,0.2863,0.0311
game_01,9,1.8,1.2244,4.638,4.162,0.2433,0.028
game_01,10,2.0,2.8952,9.6192,8.6288,0.6373,0.0782
game_01,11,2.2,1.5634,5.8351,4.6471,0.3239,0.0368
game_01,12,2.4,2.3634,9.4992,8.5749,0.6248,0.0697
game_01,13,2.6,2.5781,8.0176,6.9369,0.5856,0.0702
game_01,14,2.8,2.1064,6.0014,5.8293,0.3541,0.0473
game_01,15,3.0,1.7107,6.7256,6.0427,0.3164,0.0356
game_01,16,3.2,1.3699,6.1316,4.4968,0.2942,0.0302
game_01,17,3.4,3.6085,14.1981,13.3515,1.0287,0.0976
game_01,18,3.6,7.9287,63.892,31.4427,3.8154,0.1018
game_01,19,3.8,6.4427,44.5984,22.342,2.7015,0.1059
game_01,20,4.0,9.0643,89.7053,40.0318,1.3987,0.1089
game_01,21,4.2,8.1945,76.7082,33.4374,2.0697,0.0859
game_01,22,4.4,14.0894,41.1522,37.1772,2.1291,0.2399
game_01,23,4.6,3.3632,31.8322,14.3225,0.6979,0.0657
game_01,24,4.8,0.8483,3.8167,3.1876,0.1739,0.018
game_01,25,5.0,3.722,38.8312,16.4234,0.573,0.0594
game_01,26,5.2,2.7673,14.1079,12.0305,0.8113,0.0694
game_01,27,5.4,3.5302,16.4151,14.682,1.2366,0.0853
game_01,28,5.6,4.3733,38.8248,18.1415,0.7922,0.0767
game_01,29,5.8,3.4928,14.0212,10.6935,0.8832,0.0848
game_01,30,6.0,5.946,27.4013,22.8471,1.847,0.124
game_01,31,6.2,5.0521,16.7117,15.7568,1.1884,0.1101
game_01,32,6.4,7.9008,30.62,26.4608,1.5132,0.1416
game_01,33,6.6,15.8812,55.0633,46.0773,3.2988,0.2517
game_01,34,6.8,8.9989,58.6886,30.6854,1.8604,0.1586
game_01,35,7.0,8.2333,46.3931,31.5471,1.8043,0.1516
game_01,36,7.2,10.3359,32.5643,28.7259,3.3769,0.1964
game_01,37,7.4,14.9744,44.6018,36.9569,4.3007,0.2272
game_01,38,7.6,6.7414,34.9756,24.2262,2.2801,0.1376
game_01,39,7.8,11.0206,36.8803,33.5111,2.6877,0.1791
game_01,40,8.0,9.1709,46.522,33.4561,2.9255,0.1674
game_01,41,8.2,4.0199,17.3933,13.3347,0.9222,0.1044
game_01,42,8.4,5.32,27.3902,18.6252,1.1688,0.1143
game_01,43,8.6,4.2487,25.4793,16.3113,1.0314,0.1057
game_01,44,8.8,4.5039,20.2301,14.6156,1.1108,0.1115
game_01,45,9.0,2.6786,15.5175,9.8293,0.3905,0.0559
game_01,46,9.2,1.9133,8.3875,6.6019,0.3597,0.0471
game_01,47,9.4,1.4886,7.2018,5.2796,0.2472,0.0319
game_01,48,9.6,1.6981,5.6111,5.1529,0.3042,0.0395
game_01,49,9.8,3.1115,16.2761,11.1897,0.8242,0.0853
game_01,50,10.0,2.5006,10.0872,8.3853,0.4416,0.057
game_01,51,10.2,2.1877,9.3665,7.1723,0.4937,0.0549
game_01,52,10.4,4.6061,19.9739,17.8725,0.7067,0.0992
game_01,53,10.6,1.615,6.1846,5.253,0.3317,0.0352
game_01,54,10.8,1.9602,7.7615,5.5936,0.2758,0.0324
game_01,55,11.0,1.4965,5.816,4.7025,0.2563,0.0299
game_01,56,11.2,3.963,18.8843,14.9348,0.7734,0.0827
game_01,57,11.4,44.4173,130.5255,99.0244,4.0205,0.4075
game_01,58,11.6,0.7275,3.2497,2.9849,0.1084,0.0086
game_01,59,11.8,0.3176,1.6907,1.1622,0.0686,0.0025
game_01,60,12.0,1.3632,5.8833,5.5682,0.1865,0.0239
game_01,61,12.2,3.4764,13.8401,11.6895,0.5493,0.0971
game_01,62,12.4,3.6433,18.9481,14.1376,0.4079,0.0772
