video_id,sample_idx,time_sec,whole_frame_diff,tile_max_diff,tile_topk_mean,optical_flow_mag,ssim_change
story_01,1,0.2,23.0538,44.059,41.9463,1.7576,0.1236
story_01,2,0.4,7.4247,19.5187,17.8507,0.617,0.0574
story_01,3,0.6,32.4682,66.6524,64.4167,1.6148,0.19
story_01,4,0.8,50.088,107.1752,104.38,2.4063,0.2567
story_01,5,1.0,15.5965,50.3756,36.4698,1.5331,0.1513
story_01,6,1.2,11.766,39.0668,34.0119,1.3252,0.1513
story_01,7,1.4,28.9089,71.6973,69.0528,4.3273,0.316
story_01,8,1.6,33.9458,81.45,78.0408,5.1545,0.3874
story_01,9,1.8,22.0048,60.328,55.1531,3.5316,0.3081
story_01,10,2.0,19.6489,73.2387,51.8688,2.9471,0.2129
story_01,11,2.2,18.2626,80.3236,51.0736,9.1396,0.2499
story_01,12,2.4,59.4741,183.2461,133.4885,7.7943,0.5806
story_01,13,2.6,179.4046,245.0137,238.7811,7.3798,0.9453
story_01,14,2.8,3.1508,13.7701,12.0455,1.2086,0.1544
story_01,15,3.0,5.2064,23.1297,21.7969,0.9628,0.1591
story_01,16,3.2,16.3691,44.1961,36.3594,1.8558,0.5498
story_01,17,3.4,14.2416,29.0145,23.2487,3.4047,0.6268
story_01,18,3.6,9.5778,20.866,17.9284,2.0537,0.3571
story_01,19,3.8,4.7355,11.659,10.6295,0.4206,0.1164
story_01,20,4.0,31.9521,53.6947,53.1003,3.8873,0.6185
story_01,21,4.2,28.0406,40.7105,40.3494,4.0082,0.6272
story_01,22,4.4,39.9502,85.3601,72.2638,4.7478,0.7727
story_01,23,4.6,7.5482,15.68,12.7384,1.6483,0.2539
story_01,24,4.8,9.1807,14.0973,13.8069,2.3005,0.3256
story_01,25,5.0,12.3466,34.8017,28.56,0.7325,0.139
story_01,26,5.2,19.2598,42.0797,36.2166,0.9489,0.378
story_01,27,5.4,12.0448,24.6256,22.4415,0.323,0.6443
story_01,28,5.6,1.5845,5.1715,3.375,0.1024,0.1771
story_01,29,5.8,0.1666,0.9816,0.5206,0.0264,0.0146
story_01,30,6.0,2.3453,10.0821,9.0854,0.3525,0.0616
story_01,31,6.2,95.4356,254.9326,254.8231,1.3975,0.4602
story_01,32,6.4,84.9776,225.8351,219.5745,3.8529,0.5116
story_01,33,6.6,65.9612,223.3033,223.2572,1.3952,0.4031
story_01,34,6.8,13.9088,46.9662,37.5462,1.5469,0.268
story_01,35,7.0,11.2346,35.3145,34.6715,1.9037,0.2636
story_01,36,7.2,7.5161,25.9767,25.1042,1.1906,0.1657
story_01,37,7.4,1.3619,6.6558,5.8017,0.3081,0.0192
story_01,38,7.6,18.9664,40.1547,35.975,2.1166,0.2298
story_01,39,7.8,99.5735,103.0,103.0,1.0971,0.2747
story_01,40,8.0,108.5491,114.6429,114.0265,0.1129,0.6765
story_01,41,8.2,11.9987,18.4657,18.2721,0.5606,0.365
story_01,42,8.4,22.3507,46.3542,39.93,3.5364,0.4113
story_01,43,8.6,16.8423,35.5292,31.6135,5.0675,0.4254
story_01,44,8.8,14.9502,33.7167,28.9973,4.1152,0.4162
story_01,45,9.0,7.7436,16.4701,15.0926,1.5656,0.2484
story_01,46,9.2,2.6912,9.2121,8.8338,0.2519,0.0389
story_01,47,9.4,2.1803,6.5923,5.7509,0.1616,0.0282
story_01,48,9.6,0.0013,0.0107,0.0067,0.0008,0.0
story_01,49,9.8,19.8856,33.5629,29.2794,5.303,0.4575
story_01,50,10.0,31.6592,55.5796,51.8842,1.7177,0.5912
story_01,51,10.2,12.2702,21.9198,19.1238,0.2718,0.8126
story_01,52,10.4,137.5842,153.0,152.9012,1.8618,0.9997
story_01,53,10.6,72.0683,86.1492,80.2331,5.6308,0.4883
story_01,54,10.8,61.9008,134.3605,122.2021,6.4535,0.708
